ask_variant,followup_variant,ritual_goofiness,trial,response_probability,connection_yield,forwarding_probability
read only,none,0.0,1,0.348,0.0446,0.1166
read only,none,0.0,2,0.2863,0.104,0.1295
read only,none,0.0,3,0.4177,0.0412,0.2092
read only,none,0.0,4,0.3949,0.0571,0.2259
read only,none,0.0,5,0.3036,0.0532,0.229
read only,none,0.0,6,0.3837,0.0557,0.1736
read only,none,0.0,7,0.328,0.0666,0.1719
read only,none,0.0,8,0.3793,0.0659,0.1702
read only,none,0.0,9,0.4231,0.0599,0.1102
read only,none,0.0,10,0.3787,0.067,0.1264
read only,none,0.0,11,0.4291,0.0946,0.1061
read only,none,0.0,12,0.3657,0.0434,0.0994
read only,none,0.0,13,0.2911,0.0354,0.24
read only,none,0.0,14,0.5229,0.108,0.1122
read only,none,0.0,15,0.2822,0.0477,0.1636
read only,none,0.0,16,0.4098,0.1031,0.1738
read only,none,0.0,17,0.253,0.0525,0.2188
read only,none,0.0,18,0.3379,0.0843,0.1618
read only,none,0.0,19,0.359,0.0765,0.223
read only,none,0.0,20,0.4462,0.0604,0.1921
read only,none,0.0,21,0.3458,0.0429,0.1767
read only,none,0.0,22,0.4749,0.1018,0.2741
read only,none,0.0,23,0.3044,0.039,0.1341
read only,none,0.0,24,0.4336,0.0374,0.2236
read only,clinical humility,0.22,1,0.5688,0.1303,0.2061
read only,clinical humility,0.22,2,0.5241,0.17,0.207
read only,clinical humility,0.22,3,0.4908,0.1153,0.1849
read only,clinical humility,0.22,4,0.4447,0.1082,0.1379
read only,clinical humility,0.22,5,0.4611,0.0736,0.1781
read only,clinical humility,0.22,6,0.5123,0.0766,0.2069
read only,clinical humility,0.22,7,0.389,0.0761,0.1728
read only,clinical humility,0.22,8,0.336,0.1234,0.2384
read only,clinical humility,0.22,9,0.5024,0.1227,0.1509
read only,clinical humility,0.22,10,0.4651,0.1198,0.1498
read only,clinical humility,0.22,11,0.6243,0.205,0.2289
read only,clinical humility,0.22,12,0.3199,0.0778,0.2015
read only,clinical humility,0.22,13,0.4661,0.0979,0.2441
read only,clinical humility,0.22,14,0.4583,0.1105,0.1713
read only,clinical humility,0.22,15,0.4951,0.17,0.1951
read only,clinical humility,0.22,16,0.4582,0.1169,0.2019
read only,clinical humility,0.22,17,0.5443,0.1484,0.2006
read only,clinical humility,0.22,18,0.5272,0.0897,0.2105
