strategy,trial,response_probability,spam_misclassification_risk,connection_yield,ritual_goofiness_index
public feed,1,0.1403,0.6975,0.0311,0.3561
public feed,2,0.0511,0.8033,0.0088,0.3135
public feed,3,0.1942,0.8663,0.0225,0.2779
public feed,4,0.0682,0.828,0.0085,0.288
public feed,5,0.1038,0.7593,0.0219,0.3393
public feed,6,0.1369,0.8514,0.0271,0.3156
public feed,7,0.1213,0.8306,0.0126,0.2789
public feed,8,0.122,0.8569,0.0331,0.3457
public feed,9,0.1622,0.8845,0.0266,0.2952
public feed,10,0.2324,0.8418,0.0688,0.3597
public feed,11,0.118,0.8635,0.0286,0.3321
public feed,12,0.0968,0.7877,0.029,0.3733
public feed,13,0.0777,0.7483,0.0161,0.3397
public feed,14,0.1257,0.7171,0.0205,0.3251
public feed,15,0.1525,0.663,0.0375,0.3746
public feed,16,0.165,0.6823,0.0103,0.284
public feed,17,0.1352,0.7987,0.0193,0.3013
public feed,18,0.1644,0.8216,0.0294,0.3131
public feed,19,0.0539,0.7482,0.0159,0.3799
public feed,20,0.1349,0.7738,0.0316,0.3469
public feed,21,0.0785,0.8681,0.0183,0.3275
public feed,22,0,0.7958,0.0,0.3828
public feed,23,0,0.6954,0.0,0.3891
public feed,24,0.1452,0.8506,0.0259,0.3073
public feed,25,0.1916,0.698,0.0519,0.3792
public feed,26,0.0714,0.6822,0.0226,0.4044
public feed,27,0.218,0.7137,0.0399,0.335
public feed,28,0.0993,0.8865,0.0095,0.2659
public feed,29,0.1092,0.7428,0.02,0.3296
public feed,30,0.1162,0.6455,0.034,0.4008
public feed,31,0.0792,0.9906,0.0056,0.2388
public feed,32,0.1832,0.8083,0.0267,0.3009
public feed,33,0.1271,0.8124,0.0211,0.3092
public feed,34,0.0687,0.8094,0.0093,0.2962
public feed,35,0.0005,0.7154,0.0001,0.3474
public feed,36,0.1668,0.8842,0.0176,0.2706
public feed,37,0.0087,0.7629,0.0021,0.3512
public feed,38,0.2027,0.7732,0.0539,0.3612
public feed,39,0.1809,0.8836,0.0259,0.2865
public feed,40,0.0931,0.8486,0.029,0.3647
public feed,41,0.1328,0.8079,0.0265,0.3249
public feed,42,0.0932,0.8145,0.0094,0.2802
busy Discord,1,0.0712,0.6937,0.0289,0.4436
busy Discord,2,0.1052,0.5893,0.0457,0.4831
busy Discord,3,0.1932,0.6022,0.0518,0.398
busy Discord,4,0.2351,0.693,0.0631,0.379
busy Discord,5,0.1791,0.5731,0.0345,0.3662
busy Discord,6,0.2809,0.6305,0.0571,0.3605
busy Discord,7,0.2109,0.7324,0.0671,0.3936
busy Discord,8,0.159,0.6739,0.0376,0.368
busy Discord,9,0.2277,0.6615,0.049,0.3603
busy Discord,10,0.2263,0.6617,0.0431,0.3483
busy Discord,11,0.2182,0.8049,0.046,0.3301
busy Discord,12,0.1142,0.7644,0.0319,0.369
busy Discord,13,0.2774,0.7436,0.0761,0.3712
busy Discord,14,0.1751,0.6128,0.0275,0.3414
busy Discord,15,0.1669,0.6466,0.0351,0.3609
busy Discord,16,0.161,0.7754,0.0528,0.3885
busy Discord,17,0.133,0.7251,0.0269,0.342
busy Discord,18,0.2003,0.7002,0.0265,0.3139
busy Discord,19,0.1462,0.6732,0.0489,0.4146
busy Discord,20,0.2957,0.688,0.09,0.3971
busy Discord,21,0.2418,0.5769,0.0332,0.338
busy Discord,22,0.2652,0.5552,0.077,0.419
busy Discord,23,0.1402,0.7334,0.0366,0.3671
busy Discord,24,0.181,0.8185,0.0242,0.294
busy Discord,25,0.2132,0.8215,0.0828,0.4045
busy Discord,26,0.1341,0.7789,0.0307,0.3436
busy Discord,27,0.2737,0.6478,0.0941,0.4248
busy Discord,28,0.2524,0.5899,0.0429,0.3519
busy Discord,29,0.1082,0.6293,0.0227,0.3638
busy Discord,30,0.257,0.7522,0.0616,0.3536
busy Discord,31,0.1836,0.6721,0.0467,0.3769
busy Discord,32,0.2693,0.53,0.0619,0.3936
